Fri Oct 25 05:56:18 PM UTC 2024
10-25-2024 10:56:51 RAM 7909/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@2201,2%@2201,4%@2201,6%@2201,70%@2201,26%@2201,0%@2201,8%@2201,2%@729,4%@729,2%@729,2%@729] GR3D_FREQ 64% cpu@43.812C tboard@31C soc2@39.125C tdiode@36C soc0@39.375C tj@43.812C soc1@38.937C VDD_GPU_SOC 5961mW/4781mW VDD_CPU_CV 2386mW/2289mW VIN_SYS_5V0 4622mW/4200mW VDDQ_VDD2_1V8AO 1705mW/1448mW
10-25-2024 10:56:52 RAM 7909/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,3%@729,3%@729,7%@729,2%@729,55%@729,4%@729,5%@729,29%@2201,18%@2201,2%@2201,1%@2201] GR3D_FREQ 64% cpu@43.531C tboard@31C soc2@39.062C tdiode@36C soc0@39.375C tj@43.531C soc1@39C VDD_GPU_SOC 5961mW/4816mW VDD_CPU_CV 2386mW/2292mW VIN_SYS_5V0 4622mW/4213mW VDDQ_VDD2_1V8AO 1705mW/1455mW
10-25-2024 10:56:53 RAM 7909/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [6%@729,7%@729,3%@729,6%@729,2%@729,4%@729,2%@729,4%@729,35%@2201,67%@2201,1%@2201,3%@2201] GR3D_FREQ 58% cpu@43.343C tboard@31C soc2@39.031C tdiode@36C soc0@39.437C tj@43.343C soc1@38.968C VDD_GPU_SOC 5961mW/4848mW VDD_CPU_CV 2386mW/2294mW VIN_SYS_5V0 4622mW/4224mW VDDQ_VDD2_1V8AO 1705mW/1462mW
10-25-2024 10:56:54 RAM 7910/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [6%@729,6%@729,4%@729,3%@729,4%@729,1%@729,3%@729,8%@729,15%@2201,39%@2201,50%@2201,1%@2201] GR3D_FREQ 58% cpu@43.5C tboard@31.125C soc2@39.125C tdiode@36.125C soc0@39.687C tj@43.5C soc1@39C VDD_GPU_SOC 5961mW/4879mW VDD_CPU_CV 2385mW/2297mW VIN_SYS_5V0 4622mW/4235mW VDDQ_VDD2_1V8AO 1705mW/1469mW
10-25-2024 10:56:55 RAM 7910/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@729,11%@729,3%@729,2%@729,1%@729,5%@729,1%@729,1%@729,2%@2201,2%@2201,100%@2201,3%@2201] GR3D_FREQ 56% cpu@43.281C tboard@31.125C soc2@39.156C tdiode@36C soc0@39.468C tj@43.281C soc1@38.937C VDD_GPU_SOC 5961mW/4908mW VDD_CPU_CV 2386mW/2299mW VIN_SYS_5V0 4622mW/4246mW VDDQ_VDD2_1V8AO 1708mW/1476mW
10-25-2024 10:56:56 RAM 7914/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [6%@2201,13%@2201,5%@2201,6%@2201,3%@729,5%@729,1%@729,3%@729,2%@2201,1%@2201,99%@2201,1%@2201] GR3D_FREQ 57% cpu@43.562C tboard@31.125C soc2@39.218C tdiode@36.125C soc0@39.5C tj@43.562C soc1@39C VDD_GPU_SOC 5961mW/4936mW VDD_CPU_CV 2784mW/2312mW VIN_SYS_5V0 4622mW/4256mW VDDQ_VDD2_1V8AO 1708mW/1482mW
10-25-2024 10:56:57 RAM 7910/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,11%@729,3%@729,6%@729,6%@729,2%@729,3%@729,2%@729,2%@2201,8%@2201,15%@2201,85%@2201] GR3D_FREQ 60% cpu@43.375C tboard@31.125C soc2@39.156C tdiode@36.125C soc0@39.562C tj@43.375C soc1@39.156C VDD_GPU_SOC 5961mW/4962mW VDD_CPU_CV 2386mW/2314mW VIN_SYS_5V0 4622mW/4265mW VDDQ_VDD2_1V8AO 1708mW/1488mW
10-25-2024 10:56:58 RAM 7910/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,6%@729,3%@729,8%@729,2%@729,2%@729,2%@729,0%@729,3%@2201,50%@2201,3%@2201,52%@2201] GR3D_FREQ 58% cpu@43.406C tboard@31.125C soc2@39.156C tdiode@36.125C soc0@39.437C tj@43.406C soc1@39.187C VDD_GPU_SOC 5961mW/4987mW VDD_CPU_CV 2386mW/2316mW VIN_SYS_5V0 4622mW/4274mW VDDQ_VDD2_1V8AO 1708mW/1493mW
10-25-2024 10:56:59 RAM 7909/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [7%@2201,5%@2201,2%@2201,6%@2201,2%@729,2%@729,0%@729,2%@729,5%@2201,30%@2201,55%@2201,20%@2201] GR3D_FREQ 59% cpu@43.468C tboard@31.25C soc2@39.187C tdiode@36.125C soc0@39.625C tj@43.468C soc1@39.031C VDD_GPU_SOC 5961mW/5011mW VDD_CPU_CV 2386mW/2317mW VIN_SYS_5V0 4622mW/4283mW VDDQ_VDD2_1V8AO 1708mW/1498mW
10-25-2024 10:57:00 RAM 7909/30698MB (lfb 79x4MB) SWAP 0/15349MB (cached 0MB) CPU [5%@729,3%@729,8%@729,5%@729,48%@2201,1%@2201,4%@2201,3%@2201,4%@729,4%@729,51%@729,2%@729] GR3D_FREQ 66% cpu@43.812C tboard@31.25C soc2@39.312C tdiode@36.125C soc0@39.625C tj@43.812C soc1@39.062C VDD_GPU_SOC 5961mW/5034mW VDD_CPU_CV 2386mW/2319mW VIN_SYS_5V0 4622mW/4291mW VDDQ_VDD2_1V8AO 1708mW/1503mW
